region;settlement;latitude_dd;longitude_dd;population;latitude_rad;longitude_rad
Алтайский край;Бурла;53.3313888888889;78.3291666666667;3963;0.9308083307726317;1.3671018586767256
Алтайский край;Быстрый Исток;52.3713888888889;84.39;3096;0.9140531699534861;1.4728833557580148
Алтайский край;Быстрянка;52.2869444444444;85.8288888888889;1788;0.9125793363629121;1.4979967044394888
Алтайский край;Васильчуки;52.2733333333333;78.9513888888889;1103;0.9123417776591686;1.3779616851335788
Алтайский край;Верх-Ануйское;52.2080555555556;84.5902777777778;1032;0.9112024655085627;1.4763788623988148
Алтайский край;Верх-Камышенка;51.7863888888889;83.1041666666667;1148;0.9038429938293192;1.4504413304594548
Алтайский край;Верх-Катунское;52.4502777777778;85.4344444444444;2762;0.9154300408078373;1.4911123501677324
Алтайский край;Верх-Обский;52.4186111111111;85.0161111111111;1168;0.9148773532113719;1.4838110561302236
Алтайский край;Верх-Суетка;53.3038888888889;80.0508333333333;2060;0.9303283652283332;1.3971506106318936
Алтайский край;Веселоярск;51.2836111111111;81.1036111111111;4569;0.8950678662012362;1.4155250491459455
Алтайский край;Власиха;53.2975;83.5847222222222;11054;0.9302168580816778;1.4588286071426488
Алтайский край;Воеводское;52.7916666666667;85.6055555555556;1192;0.9213884009486737;1.4940988024433688
Алтайский край;Волчиха;52.0197222222222;80.365;10873;0.9079154287506387;1.402633853365243
Алтайский край;Волчно-Бурлинское;54.0561111111111;80.7852777777778;1028;0.943457119712779;1.4099690843604304
Алтайский край;Вострово;52.1386111111111;80.63;1157;0.9099904313057878;1.4072589758830278
Алтайский край;Вылково;53.0791666666667;81.4288888888889;1824;0.9264062225481574;1.4212022173517385
Алтайский край;Гальбштадт;53.2266666666667;78.9913888888889;1731;0.9289805831948491;1.3786598168343767
Алтайский край;Гилёвка;52.8608333333333;81.1058333333333;1166;0.9225955870146353;1.4155638342404335
Алтайский край;Глубокое;52.9902777777778;80.6838888888889;1441;0.9248548187686066;1.4081995144243806
Алтайский край;Голуха;53.8469444444444;85.4333333333333;1467;0.9398064726940236;1.491092957620488
Алтайский край;Гонохово;52.9427777777778;81.2994444444444;1657;0.9240257873739094;1.418942985597767
Алтайский край;Гоньба;53.4147222222222;83.5830555555556;2174;0.9322627718159597;1.4587995183217835
Алтайский край;Гордеевский;53.1127777777778;84.6727777777778;1182;0.9269928471022998;1.47781875903171
Алтайский край;Горняк;50.9977777777778;81.4641666666667;12654;0.8900791334226197;1.4218179307267478
Алтайский край;Горьковское;52.0758333333333;82.1347222222222;1071;0.9088947523864798;1.433521332988731
Алтайский край;Гришковка;53.1497222222222;78.7519444444444;1279;0.9276376492981747;1.3744807229032114
Алтайский край;Дегтярка;53.3436111111111;79.3555555555556;1302;0.9310216487923194;1.385015724193723
Алтайский край;Долганка;54.1305555555556;81.0419444444444;1292;0.9447564203781535;1.4144487627738815
Алтайский край;Дружба;52.5766666666667;82.5030555555556;1029;0.917635943056886;1.4399499624002448
Алтайский край;Екатерининское;50.9102777777778;82.0166666666667;1137;0.8885519703271246;1.4314608748440165
Алтайский край;Ельцовка;53.2552777777778;86.2611111111111;2915;0.9294799412863917;1.505540405317553
Алтайский край;Енисейское;52.5772222222222;85.5022222222222;1238;0.9176456393305071;1.4922952955496402
Алтайский край;ЗАТО Сибирский;53.5572222222222;83.8391666666667;11993;0.9347498660000516;1.4632695004616132
Алтайский край;Заводское;53.0694444444444;84.4241666666667;1152;0.9262365377597678;1.4734796765857798
Алтайский край;Завьялово;52.8391666666667;80.9119444444444;6553;0.9222174323433711;1.412179834746289
